"Guid","PDRI__Data_Record_Failures__c","PDRI__Deployment_Data_Set_Result__c","PDRI__Job_ID__c","PDRI__Object_Name__c","PDRI__Operation__c","PDRI__Result_ID__c","PDRI__Result__c","PDRI__Upsert_Method_Used__c"
2d30c506-622d-4992-8fee-44fc502ad2c0,false,8aaa2b7d-2734-45d1-aae6-98bf43de53db,"#N/A",Account,Insert,"#N/A",Success,Virtual External ID
2d5901ab-ff83-4c86-8244-e4fb1668e373,false,994fb332-bfca-4c40-b21f-057584594c18,"#N/A",Contract,Insert,"#N/A",Success,Virtual External ID
3903199c-61f0-4ab9-aa3c-43ec89bcf905,false,8c11d541-910b-4846-bee2-eff740629d73,7507g000009eiN9AAI,"#N/A",Insert,7517g00000ArcutAAB,Success,Virtual External ID
59838c26-88a1-4c95-8bbf-41d06bf5498a,false,c54934d2-4a27-4d8a-a7c1-585541d1cb87,7508c00000Nni8jAAB,"#N/A",Update,7518c00000XFlZPAA1,Success,Virtual External ID
5a712e5d-1f95-4b64-a355-162b2d2e326a,false,f878948f-c505-4a5c-8518-dae5d241398d,"#N/A",Account,Delete,"#N/A",Success,Virtual External ID
5c844632-e055-4467-945e-0627caa77f01,false,160bb06d-9332-4d92-af7c-a6b3be5e1222,"#N/A",Account,Insert,"#N/A",Success,Virtual External ID
62be127c-1ed4-4eb6-9c83-a52d8e619db6,false,bde272f7-6141-4f62-9047-04626a043b53,7507g000009eY9aAAE,"#N/A",Insert,7517g00000ArG6oAAF,Success,Virtual External ID
6e981788-6117-4c1f-9e5c-d0bfb92ba6b2,false,298e8837-9c11-40ac-a3f4-08492d2c01d3,7508c00000NnipNAAR,Account,Update,"#N/A",Success,Virtual External ID
72bec990-53b2-44bc-8cdb-d29192f389f8,false,86bf4f02-09e8-4c2f-9640-05e3b1adc9d2,7508c00000NnTrJAAV,Account,Update,"#N/A",Success,Virtual External ID
75e3eab3-5396-4b88-9ba8-a576ed70d08b,false,a455253a-0e3d-4fbf-bcd6-cdcb9e96a841,7508c00000NnRtcAAF,Contract,Update,"#N/A",Success,Virtual External ID
769a9ca5-7592-4808-9cfc-ae1bdbba7295,false,160bb06d-9332-4d92-af7c-a6b3be5e1222,"#N/A",Contact,Insert,"#N/A",Success,Virtual External ID
7a92412d-ab42-412b-b794-63749aa331a0,false,f6e65825-a54f-4d15-9973-61aacc068ff4,7508c00000NnRsAAAV,Contract,Update,"#N/A",Success,Virtual External ID
80d66237-fdc4-4dfb-9fbe-205557decea8,false,c54934d2-4a27-4d8a-a7c1-585541d1cb87,7508c00000NniPAAAZ,"#N/A",Update,7518c00000XFlOSAA1,Success,Virtual External ID
8b52b42e-1358-4c7f-abeb-05bc82992c3b,false,160bb06d-9332-4d92-af7c-a6b3be5e1222,"#N/A",Contact,Delete,"#N/A",Success,Virtual External ID
a0b1c0c9-07d9-4ef8-8375-f3ae90b7d099,false,7a5ea505-4314-4d69-b085-4f2e9c13f1dc,7508c00000NniAMAAZ,Account,Update,"#N/A",Success,Virtual External ID
a9ffe2b6-694d-4417-93fe-38ba146fa5a3,false,fcfb57c2-2c5c-43b9-a428-4bac1673a6a9,7508c00000NnS1gAAF,Contract,Update,"#N/A",Success,Virtual External ID
ad26c023-2348-4327-9f48-d4388a61d892,false,298e8837-9c11-40ac-a3f4-08492d2c01d3,7508c00000NnipDAAR,Account,Insert,"#N/A",Success,Virtual External ID
b7131b9e-1922-48c9-a83e-57403d7015d9,false,d1092a22-5e82-4e48-80a4-7f5a30c08fba,7507g000009efN0AAI,"#N/A",Update,7517g00000ArW6JAAV,Success,Virtual External ID
bb321de2-f2fa-4918-b43b-d9459485203b,false,58abfea0-96a3-4bb4-9b61-6daf27036554,"#N/A",Contact,Delete,"#N/A",Success,Virtual External ID
c539f427-3b2b-4575-aa5f-4554783b6946,false,fcfb57c2-2c5c-43b9-a428-4bac1673a6a9,7508c00000NnRWUAA3,Account,Update,"#N/A",Success,Virtual External ID
d0acab88-5e9b-46d0-82b2-0bc32e81f26c,false,86bf4f02-09e8-4c2f-9640-05e3b1adc9d2,7508c00000NnTrOAAV,Contract,Update,"#N/A",Success,Virtual External ID
dd5010b2-9537-4791-b730-30ffa6584f61,false,a455253a-0e3d-4fbf-bcd6-cdcb9e96a841,7508c00000NnRg0AAF,Account,Update,"#N/A",Success,Virtual External ID
e4e2a521-3e59-41e5-9fd1-38b32c96693c,false,994fb332-bfca-4c40-b21f-057584594c18,"#N/A",Account,Delete,"#N/A",Success,Virtual External ID
e92b4a1a-350e-4f5b-af60-464b4f308611,false,298e8837-9c11-40ac-a3f4-08492d2c01d3,7508c00000NnipIAAR,Contract,Update,"#N/A",Success,Virtual External ID
ef2b9dc5-7c8a-458b-a3ed-2fdecfaf6759,false,8aaa2b7d-2734-45d1-aae6-98bf43de53db,"#N/A",Contract,Update,"#N/A",Success,Virtual External ID
f800febb-8df7-43ec-81ed-de81988789f7,false,7a5ea505-4314-4d69-b085-4f2e9c13f1dc,7508c00000NninWAAR,Contract,Update,"#N/A",Success,Virtual External ID
fa9e1cb5-e4da-4865-8ae3-e3644ec55157,false,8c11d541-910b-4846-bee2-eff740629d73,7507g000009eiOzAAI,"#N/A",Update,7517g00000Ard0VAAR,Success,Virtual External ID
