"Guid","PDRI__Data_Record_Failures__c","PDRI__Error__c","PDRI__Result__c","PDRI__Status__c"
160bb06d-9332-4d92-af7c-a6b3be5e1222,false,"#N/A","#N/A","#N/A"
298e8837-9c11-40ac-a3f4-08492d2c01d3,false,"#N/A","#N/A","#N/A"
58abfea0-96a3-4bb4-9b61-6daf27036554,false,"#N/A","#N/A","#N/A"
7a5ea505-4314-4d69-b085-4f2e9c13f1dc,false,"#N/A","#N/A","#N/A"
83fc98ae-8bc5-4b66-b091-9db53940f234,false,"#N/A","#N/A","#N/A"
86bf4f02-09e8-4c2f-9640-05e3b1adc9d2,false,"#N/A","#N/A","#N/A"
872a2f5f-b76a-4253-8e70-34753e270e7a,false,"#N/A","#N/A","#N/A"
8aaa2b7d-2734-45d1-aae6-98bf43de53db,false,"#N/A","#N/A","#N/A"
8c11d541-910b-4846-bee2-eff740629d73,false,"#N/A",Success,Finished
994fb332-bfca-4c40-b21f-057584594c18,false,"#N/A","#N/A","#N/A"
9b14e6a0-e50b-4aa2-9d11-36c154b4d898,false,"#N/A","#N/A","#N/A"
9f219505-dccb-4941-a186-607308dcd920,false,"#N/A","#N/A","#N/A"
a455253a-0e3d-4fbf-bcd6-cdcb9e96a841,false,"#N/A","#N/A","#N/A"
bde272f7-6141-4f62-9047-04626a043b53,false,"#N/A",Success,Finished
c54934d2-4a27-4d8a-a7c1-585541d1cb87,false,"#N/A",Success,Finished
d1092a22-5e82-4e48-80a4-7f5a30c08fba,false,"#N/A",Success,Finished
f6e65825-a54f-4d15-9973-61aacc068ff4,false,"#N/A","#N/A","#N/A"
f878948f-c505-4a5c-8518-dae5d241398d,false,"#N/A","#N/A","#N/A"
fcfb57c2-2c5c-43b9-a428-4bac1673a6a9,false,"#N/A","#N/A","#N/A"
